11/3/2025, 12:37:30, pp, 12
11/3/2025, 12:46:57, pp, 11
11/3/2025, 12:47:46, pp, 11
11/3/2025, 12:52:36, pp, 12, false
11/3/2025, 12:52:59, pp, 11, true
11/3/2025, 18:15:59, pp, 11, true
11/3/2025, 18:19:35, pp, 11, true
11/3/2025, 18:20:20, pp, 11, true
11/3/2025, 18:39:49, pp, 11, true
12/3/2025, 9:22:54, pp, 11, true
12/3/2025, 9:54:02, pp, 11, true
12/3/2025, 10:44:34, pp, 11, true
12/3/2025, 10:54:50, pp, 11, true
12/3/2025, 12:40:37, pp, 11, true
12/3/2025, 14:53:44, pp, 11, true
12/3/2025, 15:10:32, pp, 11, true
